age,gender,ethnicity,years_experience,university_tier,skills_score,interview_score,hired
46,female,group_a,6.9,2,64.95,60.74,0
33,female,group_b,3.2,3,78.87,54.75,0
49,female,group_b,3.0,2,62.28,41.3,0
26,male,group_c,6.7,1,55.91,62.41,1
22,male,group_c,1.1,1,77.12,49.09,1
43,female,group_a,3.2,2,74.17,61.39,0
23,male,group_c,7.6,3,78.53,69.88,0
35,female,group_a,3.9,1,70.29,70.29,0
43,female,group_b,3.1,1,82.41,73.34,0
31,male,group_c,2.5,2,75.89,62.41,0
31,male,group_a,6.1,1,48.32,67.07,0
29,male,group_a,4.6,1,72.13,83.92,1
22,male,group_a,6.1,1,79.03,65.73,1
53,male,group_a,5.2,3,70.2,68.25,1
44,female,group_a,11.1,2,87.29,33.84,1
37,female,group_a,4.4,3,64.3,52.52,1
28,non-binary,group_a,0.0,3,78.14,83.06,0
54,female,group_c,6.0,2,55.02,55.81,1
27,female,group_b,5.7,3,69.77,52.87,0
32,non-binary,group_b,6.2,1,63.18,81.28,0
35,male,group_a,1.0,2,57.77,50.77,1
29,male,group_a,9.0,1,54.1,81.59,1
41,female,group_c,5.6,2,72.46,66.42,0
45,male,group_a,5.6,1,74.92,59.08,0
22,male,group_c,1.1,2,62.17,39.28,1
52,female,group_a,7.1,2,54.94,86.24,0
34,male,group_a,5.5,3,59.26,42.49,0
27,female,group_a,9.7,3,78.91,50.63,1
23,female,group_a,4.5,1,55.36,78.72,1
50,female,group_a,2.1,2,83.45,50.47,0
34,male,group_a,6.1,3,49.76,74.82,1
41,male,group_b,3.0,1,73.15,67.23,0
24,male,group_a,6.9,3,77.8,63.95,0
51,male,group_a,2.5,3,84.46,52.99,0
50,female,group_a,5.3,3,64.66,58.52,0
53,male,group_a,5.0,2,60.63,71.56,1
46,male,group_a,5.6,2,52.74,54.05,1
36,male,group_a,4.2,3,80.72,76.51,0
30,female,group_b,3.3,1,68.27,71.05,0
53,male,group_a,5.5,3,64.31,75.26,0
38,male,group_a,4.0,1,64.79,70.94,1
27,female,group_b,6.2,2,72.86,75.56,1
38,female,group_a,4.9,2,70.21,73.01,1
36,female,group_b,0.0,3,83.98,79.22,0
25,female,group_b,5.5,2,44.01,72.97,0
36,female,group_a,9.8,2,79.97,72.2,1
22,male,group_a,6.6,2,63.45,54.93,1
30,female,group_b,7.5,2,68.9,43.67,0
50,female,group_a,7.0,2,66.07,68.41,0
37,female,group_b,4.3,3,68.83,81.06,0
30,male,group_c,1.8,1,78.92,54.75,1
46,female,group_b,8.1,2,72.51,45.57,1
43,male,group_a,8.8,1,52.55,60.08,1
25,male,group_b,7.4,1,69.06,72.71,1
22,male,group_a,6.9,1,68.69,79.6,1
