age,gender,caste,income,zip_code,education,loan_amount,credit_score,approved
22,female,general,75177.92,102-509,high_school,11093.7,665.06,1
52,male,obc,80544.68,202-965,graduate,37372.67,,1
30,female,sc,68024.3,300-198,graduate,41715.56,684.79,0
52,female,general,44177.65,102-610,high_school,31785.47,676.87,1
45,male,general,93622.26,101-406,postgraduate,24476.63,738.81,1
29,non-binary,obc,72020.68,202-681,graduate,12463.18,711.52,0
41,female,sc,62226.54,300-683,high_school,23549.81,676.09,1
22,female,obc,48563.76,200-316,postgraduate,30506.55,661.67,0
51,male,obc,63465.3,200-806,high_school,32468.93,677.38,0
34,male,general,97397.82,102-182,postgraduate,31199.3,678.36,1
37,male,general,102370.02,102-835,graduate,35886.11,818.53,1
27,female,obc,77104.37,201-290,graduate,42486.57,,0
37,female,general,61980.28,101-630,graduate,21354.8,629.05,1
38,female,obc,73859.54,201-412,high_school,50247.81,620.99,1
30,male,general,101800.83,100-648,postgraduate,6820.56,694.81,1
64,male,general,113513.67,102-340,high_school,17995.2,692.63,1
33,female,obc,62224.57,201-611,postgraduate,26800.0,648.48,0
28,male,obc,66781.41,201-107,graduate,29941.23,,1
45,female,obc,62052.76,200-436,graduate,23365.28,700.33,0
35,female,obc,64238.31,202-842,graduate,20538.11,,1
40,female,st,61254.72,401-516,graduate,44823.27,746.19,0
52,male,sc,62042.45,300-548,postgraduate,20108.3,562.79,1
24,non-binary,sc,60631.37,301-658,high_school,15825.63,717.71,0
43,female,obc,75153.45,201-490,graduate,40217.43,609.05,0
21,female,obc,61542.8,202-879,postgraduate,32642.37,693.72,1
22,male,obc,86719.72,202-462,graduate,34852.45,675.99,1
25,male,obc,117688.57,202-947,high_school,26762.84,678.34,1
28,male,general,80019.94,102-888,graduate,12616.12,613.75,0
36,male,obc,108264.17,200-478,postgraduate,25761.58,736.68,0
62,female,general,81297.5,100-428,graduate,11376.81,609.02,1
60,female,general,63847.67,102-708,graduate,27180.76,721.28,1
25,non-binary,sc,64539.53,300-779,postgraduate,30880.63,601.25,0
64,male,general,94489.58,100-267,graduate,34678.78,679.02,1
48,male,obc,93547.27,201-316,postgraduate,24168.51,779.24,1
45,male,obc,82676.42,202-231,graduate,31732.81,809.89,1
55,male,general,89005.92,100-783,high_school,16865.39,590.97,1
42,male,sc,78526.86,300-742,graduate,33699.68,641.25,0
32,male,general,90473.83,102-269,postgraduate,31071.2,651.25,1
44,male,sc,79149.41,301-582,high_school,17797.68,804.03,1
52,female,sc,24128.45,300-787,postgraduate,29773.26,,0
51,male,general,96367.09,102-951,graduate,34807.49,739.11,1
28,female,general,59615.45,100-260,postgraduate,25707.81,696.48,0
62,female,general,40864.64,102-373,graduate,17597.39,614.04,0
33,male,general,90099.29,101-413,postgraduate,26599.8,,1
57,female,general,61666.6,100-661,graduate,29972.06,,1
34,female,st,71853.42,400-222,high_school,17529.82,807.43,0
23,male,general,87450.78,101-273,high_school,15931.2,694.17,0
64,male,sc,92849.06,300-801,graduate,29694.6,737.99,0
