gender,race,age,income,loan_amount,credit_score,approved
female,group_a,50,66306.53,19614.62,783.5,1
female,group_c,60,33116.69,19081.71,839.5,0
female,group_c,33,74419.01,1000.0,748.7,1
male,group_b,61,85947.12,16225.68,751.0,0
male,group_b,23,55162.38,21861.95,581.4,0
female,group_b,49,49156.17,11277.84,671.7,1
male,group_a,38,55589.82,17677.3,623.2,0
female,group_b,44,67407.52,1000.0,638.9,0
female,group_a,48,74159.43,22035.45,747.7,1
male,group_a,30,84462.12,12031.75,623.7,0
male,group_b,23,85037.09,23535.18,670.9,1
male,group_b,44,84522.67,3179.1,546.4,1
male,group_a,64,87876.51,22192.01,668.9,0
male,group_b,34,74566.37,15222.96,686.3,0
female,group_c,46,32912.77,23057.03,630.7,0
female,group_a,26,59511.68,10057.18,629.6,0
nan,group_a,36,67964.49,12361.57,812.0,0
female,group_b,26,54720.6,33818.39,595.3,1
female,group_a,26,79313.96,10775.36,606.5,1
nan,group_b,57,55155.93,11704.8,623.4,1
male,group_a,62,44410.81,14925.63,763.9,1
male,group_b,63,89441.68,9330.81,827.1,1
female,group_a,54,74654.08,25928.43,703.3,0
male,group_b,27,66165.82,29937.6,629.8,0
male,group_b,63,79607.47,11719.2,650.1,1
female,group_b,21,82188.15,4054.76,754.5,0
male,group_a,33,68479.68,25789.83,616.2,0
female,group_c,33,15304.43,25312.93,781.7,0
female,group_a,55,49163.8,23162.44,779.2,0
female,group_a,27,53325.0,25673.84,684.9,0
female,group_a,65,43300.18,10493.56,725.2,0
male,group_a,29,65774.87,15736.28,732.5,0
male,group_a,60,84651.84,6619.18,788.8,1
male,group_b,47,52786.79,6363.78,606.4,0
female,group_b,32,40438.18,24358.26,762.7,0
male,group_a,40,100532.66,11960.65,653.7,1
male,group_a,26,53422.69,34096.79,626.3,0
male,group_a,40,38573.67,17556.35,687.2,1
female,group_b,52,66515.87,12196.81,665.0,0
male,group_b,30,70087.97,22984.14,610.9,1
male,group_c,65,48604.05,30509.47,568.2,0
female,group_b,51,77018.62,20645.98,614.1,1
female,group_b,37,52740.93,7871.41,781.7,1
female,group_b,34,44463.93,19782.52,817.4,0
female,group_b,56,65393.23,27316.99,725.5,0
female,group_a,39,76644.61,13300.69,763.0,0
male,group_a,64,49956.82,11197.69,643.8,0
female,group_a,42,68281.89,24623.36,674.6,0
female,group_b,53,60223.66,18049.76,699.8,0
female,group_a,62,115664.24,8730.93,604.3,0
male,group_a,64,48537.37,14151.9,610.7,1
female,group_b,32,88299.26,11332.53,686.8,1
male,group_a,40,61005.42,19222.01,657.6,1
male,group_a,54,59591.52,17822.63,605.6,0
